GeneID,log2FC,pvalue,padj,significant,Symbol,Description,GeneType
51513,4.176405158512419,1.338874530228447e-08,9.003261778521191e-05,True,ETV7,ETS variant transcription factor 7,protein-coding
116071,4.591804381661351,8.326412330673413e-09,9.003261778521191e-05,True,BATF2,basic leucine zipper ATF-like transcription factor 2,protein-coding
2209,4.393242254039672,5.4698738466642165e-08,0.00018391083340946762,True,FCGR1A,Fc gamma receptor Ia,protein-coding
710,4.410582461721283,5.2286251446742395e-08,0.00018391083340946762,True,SERPING1,serpin family G member 1,protein-coding
112268296,2.11940734062133,1.4042389324867878e-07,0.00027439082253379515,True,LOC112268296,,
100132417,4.227526829172512,1.4281625085408329e-07,0.00027439082253379515,True,FCGR1CP,"Fc gamma receptor Ic, pseudogene",pseudo
7453,3.146823474591157,1.0347841161305703e-07,0.00027439082253379515,True,WARS1,tryptophanyl-tRNA synthetase 1,protein-coding
717,1.3080306945102333,2.831543014708569e-07,0.00030517030097277443,True,C2,complement C2,protein-coding
51056,3.068994159797656,2.661912865774125e-07,0.00030517030097277443,True,LAP3,leucine aminopeptidase 3,protein-coding
2633,4.065699285547182,2.9498207395687916e-07,0.00030517030097277443,True,GBP1,guanylate binding protein 1,protein-coding
3430,2.577225001959617,2.663055285346901e-07,0.00030517030097277443,True,IFI35,interferon induced protein 35,protein-coding
118932,3.79970312971839,2.697185848508584e-07,0.00030517030097277443,True,ANKRD22,ankyrin repeat domain 22,protein-coding
441168,3.3074459614376672,2.2259207671347864e-07,0.00030517030097277443,True,CALHM6,calcium homeostasis modulator family member 6,protein-coding
9246,2.4922331108040057,3.7270931161317996e-07,0.0003580405379918327,True,UBE2L6,ubiquitin conjugating enzyme E2 L6,protein-coding
400759,3.2348904638865266,4.127805329353075e-07,0.00037009902582979667,True,GBP1P1,guanylate binding protein 1 pseudogene 1,pseudo
2210,3.5695640670113633,5.592035578954948e-07,0.000453637676277346,True,FCGR1BP,"Fc gamma receptor Ib, pseudogene",pseudo
115362,3.9767114176049905,5.73413673634834e-07,0.000453637676277346,True,GBP5,guanylate binding protein 5,protein-coding
100505681,1.1214836382876348,8.221997757245577e-07,0.000485387431029596,True,NAPA-AS1,NAPA antisense RNA 1,ncRNA
8542,2.369364850849418,7.948286136698456e-07,0.000485387431029596,True,APOL1,apolipoprotein L1,protein-coding
94240,2.436748239826302,8.300922681002832e-07,0.000485387431029596,True,EPSTI1,epithelial stromal interaction 1,protein-coding
5371,2.0696654622260042,7.812335871067812e-07,0.000485387431029596,True,PML,PML nuclear body scaffold,protein-coding
8651,2.8275978490728266,7.669801324328968e-07,0.000485387431029596,True,SOCS1,suppressor of cytokine signaling 1,protein-coding
6398,2.560589853785742,7.244991619540214e-07,0.000485387431029596,True,SECTM1,secreted and transmembrane 1,protein-coding
3386,-0.8204718846575428,8.773096599059958e-07,0.0004916224006698223,True,ICAM4,intercellular adhesion molecule 4 (Landsteiner-Wiener blood group),protein-coding
115361,3.0285622441315367,9.524665877938859e-07,0.0005123889255695988,True,GBP4,guanylate binding protein 4,protein-coding
80832,2.8057829048612186,1.0213904509853527e-06,0.0005283338528962312,True,APOL4,apolipoprotein L4,protein-coding
26800,-0.9920820109074051,1.263250670432949e-06,0.0006292391950612123,True,SNORD49A,"small nucleolar RNA, C/D box 49A",snoRNA
26270,2.2453629855621187,1.3282492318492795e-06,0.0006379865685407486,True,FBXO6,F-box protein 6,protein-coding
467,2.115340426655501,1.6389651458871878e-06,0.0007600842154150617,True,ATF3,activating transcription factor 3,protein-coding
4924,1.7162047888101464,1.7161099608029382e-06,0.0007693320954279572,True,NUCB1,nucleobindin 1,protein-coding
8775,1.1664289462550652,1.9348969674917433e-06,0.0008183627337626673,True,NAPA,NSF attachment protein alpha,protein-coding
100616483,1.2083041386642899,1.94717878506992e-06,0.0008183627337626673,True,MIR4751,microRNA 4751,ncRNA
389792,-1.1301871094318758,2.1993138776145356e-06,0.0008963203739405421,True,IER5L,immediate early response 5 like,protein-coding
3620,4.5406575545543735,2.499191953918632e-06,0.000988577429066226,True,IDO1,"indoleamine 2,3-dioxygenase 1",protein-coding
29126,3.3692662180493724,2.6366226106082886e-06,0.001013141071144882,True,CD274,CD274 molecule,protein-coding
440689,2.974761891951112,3.6998402056374086e-06,0.0011151131051247815,True,H2BC18,H2B clustered histone 18,protein-coding
286333,1.108168746344861,3.3449509324962055e-06,0.0011151131051247815,True,FAM225A,family with sequence similarity 225 member A,ncRNA
55748,1.0925357950320969,3.8056666773472873e-06,0.0011151131051247815,True,CNDP2,carnosine dipeptidase 2,protein-coding
84058,-0.9363534464131142,3.6062982222782395e-06,0.0011151131051247815,True,WDR54,WD repeat domain 54,protein-coding
404550,-1.2769137803069832,3.0842568768017655e-06,0.0011151131051247815,True,C16orf74,chromosome 16 open reading frame 74,protein-coding
54625,2.643924284542541,3.5102862357294684e-06,0.0011151131051247815,True,PARP14,poly(ADP-ribose) polymerase family member 14,protein-coding
6539,1.1035371464951855,3.805682198236672e-06,0.0011151131051247815,True,SLC6A12,solute carrier family 6 member 12,protein-coding
6772,2.5823331275369465,3.814053300300391e-06,0.0011151131051247815,True,STAT1,signal transducer and activator of transcription 1,protein-coding
2634,2.252963500651096,3.3685310659866066e-06,0.0011151131051247815,True,GBP2,guanylate binding protein 2,protein-coding
8722,-1.1508639027342933,3.2621827421674357e-06,0.0011151131051247815,True,CTSF,cathepsin F,protein-coding
100874085,1.7531644471783965,3.4315960767141636e-06,0.0011151131051247815,True,NUCB1-AS1,NUCB1 antisense RNA 1,ncRNA
56833,2.154120456824449,3.912080647872967e-06,0.0011194377156009262,True,SLAMF8,SLAM family member 8,protein-coding
1890,1.610891162385367,4.0959508824345785e-06,0.0011476342378721385,True,TYMP,thymidine phosphorylase,protein-coding
3383,1.9335422232303188,5.0346433893676654e-06,0.001337617126897605,True,ICAM1,intercellular adhesion molecule 1,protein-coding
283849,1.2048020041479548,5.072382591402918e-06,0.001337617126897605,True,EXOC3L1,exocyst complex component 3 like 1,protein-coding
9636,2.253874381069247,4.959067822306627e-06,0.001337617126897605,True,ISG15,ISG15 ubiquitin like modifier,protein-coding
26509,1.7815446125039551,6.167943980987682e-06,0.0014266771006362854,True,MYOF,myoferlin,protein-coding
3659,1.9613261463233558,5.856748753289484e-06,0.0014266771006362854,True,IRF1,interferon regulatory factor 1,protein-coding
10906,2.037865465380232,5.572250919653179e-06,0.0014266771006362854,True,TRAFD1,TRAF-type zinc finger domain containing 1,protein-coding
338391,2.1354353261572094,6.029517737533017e-06,0.0014266771006362854,True,H2BP2,H2B histone pseudogene 2,pseudo
91543,3.252997344440767,6.124037068527804e-06,0.0014266771006362854,True,RSAD2,radical S-adenosyl methionine domain containing 2,protein-coding
8578,2.5570663056895837,5.935540934976659e-06,0.0014266771006362854,True,SCARF1,scavenger receptor class F member 1,protein-coding
80380,1.6544015390724924,6.258751501044007e-06,0.0014266771006362854,True,PDCD1LG2,programmed cell death 1 ligand 2,protein-coding
6890,2.020747695137757,5.6812876219364525e-06,0.0014266771006362854,True,TAP1,"transporter 1, ATP binding cassette subfamily B member",protein-coding
84264,-0.8561039585254313,6.4073703463391576e-06,0.0014362120631319223,True,HAGHL,hydroxyacylglutathione hydrolase like,protein-coding
129607,2.5461726520025056,6.607372542710257e-06,0.0014567631692936104,True,CMPK2,cytidine/uridine monophosphate kinase 2,protein-coding
5721,1.7651841802093493,7.188766831959529e-06,0.0015593826632745759,True,PSME2,proteasome activator subunit 2,protein-coding
112268237,2.3019525448052605,7.886021121592394e-06,0.001683477747052319,True,LOC112268237,,
105375037,1.6068990257230376,8.276994825085942e-06,0.0017393328656653253,True,ETV7-AS1,ETV7 and PTX1 antisense RNA 1,ncRNA
3437,2.890009562463903,8.866221232553616e-06,0.0017450120311468078,True,IFIT3,interferon induced protein with tetratricopeptide repeats 3,protein-coding
8928,-0.691857340913494,8.613613103815765e-06,0.0017450120311468078,True,FOXH1,forkhead box H1,protein-coding
6773,2.117606460449257,9.01905420128514e-06,0.0017450120311468078,True,STAT2,signal transducer and activator of transcription 2,protein-coding
6272,1.938961906481365,9.082522282718161e-06,0.0017450120311468078,True,SORT1,sortilin 1,protein-coding
