GeneID,log2FC,pvalue,padj,significant,Symbol,Description,GeneType
9530,0.6555118487261886,0.03323724277357377,0.33340361884456754,False,BAG4,BAG cochaperone 4,protein-coding
5601,0.4958944064138069,0.05561129263957627,0.33340361884456754,False,MAPK9,mitogen-activated protein kinase 9,protein-coding
80262,0.4838078436580915,0.07483751386346918,0.33340361884456754,False,PHAF1,phagosome assembly factor 1,protein-coding
114609,0.5280495127280056,0.07116904748958465,0.33340361884456754,False,TIRAP,TIR domain containing adaptor protein,protein-coding
105369557,0.3578868278846363,0.1171661008438194,0.33340361884456754,False,TIRAP-AS1,TIRAP antisense RNA 1,ncRNA
100302156,0.5501586578706786,0.10509233933046487,0.33340361884456754,False,MIR1229,microRNA 1229,ncRNA
399687,0.5091930489877661,0.12272167068502955,0.33340361884456754,False,MYO18A,myosin XVIIIA,protein-coding
9794,0.6362718592410426,0.09842597795356009,0.33340361884456754,False,MAML1,mastermind like transcriptional coactivator 1,protein-coding
821,0.6993052287348318,0.0884450790028143,0.33340361884456754,False,CANX,calnexin,protein-coding
3187,0.5951362094183406,0.11841361729763791,0.33340361884456754,False,HNRNPH1,heterogeneous nuclear ribonucleoprotein H1,protein-coding
30832,0.31847341074379343,0.0960390466371439,0.33340361884456754,False,ZNF354C,zinc finger protein 354C,protein-coding
117608,0.49140725412220954,0.023542237196108703,0.33340361884456754,False,ZNF354B,zinc finger protein 354B,protein-coding
6940,0.5820959278049525,0.04676987884417528,0.33340361884456754,False,ZNF354A,zinc finger protein 354A,protein-coding
57396,0.8672188081695538,0.021048964336776377,0.33340361884456754,False,CLK4,CDC like kinase 4,protein-coding
5329,0.39512439775062624,0.07003330938819625,0.33340361884456754,False,PLAUR,"plasminogen activator, urokinase receptor",protein-coding
2313,0.6424159872509225,0.08709149529449524,0.33340361884456754,False,FLI1,"Fli-1 proto-oncogene, ETS transcription factor",protein-coding
23138,0.2710805996258334,0.1196069014703892,0.33340361884456754,False,N4BP3,NEDD4 binding protein 3,protein-coding
285596,0.31115529378428275,0.11570423453533402,0.33340361884456754,False,FAM153A,family with sequence similarity 153 member A,protein-coding
57472,0.634457360379554,0.07210979014581316,0.33340361884456754,False,CNOT6,CCR4-NOT transcription complex subunit 6,protein-coding
202181,0.31872345698501026,0.09720308661396379,0.33340361884456754,False,LOC202181,SUMO interacting motifs containing 1 pseudogene,pseudo
57649,0.6004350658275763,0.08496906960225768,0.33340361884456754,False,PHF12,PHD finger protein 12,protein-coding
643836,0.578368016765401,0.04039543940569324,0.33340361884456754,False,ZFP62,ZFP62 zinc finger protein,protein-coding
2762,0.17014660515090851,0.10130691934702708,0.33340361884456754,False,GMDS,"GDP-mannose 4,6-dehydratase",protein-coding
7773,0.6225643861930221,0.027159867618395835,0.33340361884456754,False,ZNF230,zinc finger protein 230,protein-coding
56940,0.4187942308796493,0.10772609006619646,0.33340361884456754,False,DUSP22,dual specificity phosphatase 22,protein-coding
102723922,0.4003222105067782,0.07017183490213125,0.33340361884456754,False,LOC102723922,,
64976,0.37723766404549486,0.08824124663118026,0.33340361884456754,False,MRPL40,mitochondrial ribosomal protein L40,protein-coding
128977,0.5207048787854061,0.08399883067550713,0.33340361884456754,False,C22orf39,chromosome 22 open reading frame 39,protein-coding
105372860,0.39911320315611,0.11206447152574331,0.33340361884456754,False,UFD1-AS1,UFD1 antisense RNA 1,ncRNA
84851,0.646654406840482,0.04575043940794364,0.33340361884456754,False,TRIM52,tripartite motif containing 52,protein-coding
101928649,0.5474074261363127,0.05454813941369703,0.33340361884456754,False,CTC-338M12.4,uncharacterized LOC101928649,ncRNA
619570,0.3839636541430136,0.04301812687462602,0.33340361884456754,False,SNORD95,"small nucleolar RNA, C/D box 95",snoRNA
84897,0.537748607105788,0.08972030885930127,0.33340361884456754,False,TBRG1,transforming growth factor beta regulator 1,protein-coding
7122,0.3097335648781665,0.11597958271780048,0.33340361884456754,False,CLDN5,claudin 5,protein-coding
54414,0.33558664807845373,0.10306444448329093,0.33340361884456754,False,SIAE,sialic acid acetylesterase,protein-coding
