index,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Cytoplasmic Translation (GO:0002181),-0.8607445497832991,-3.7596887232264176,0.0,0.0,0.0,72/91,7.21%,RPS27;RPL13A;RPS18;RPL3;RPS5;RPL13;RPS15A;RPL36;RPL37A;RPS21;RPS19;RPSA;RPL18A;RPS3;RPLP2;RPS28;RPL10A;RPL23A;RPS6;RPL39;RPS20;RPL10;RPLP0;RPL18;RPL9;RPL32;RPS16;RPS14;RPL7A;RPS10;RPL27A;RPS25;RPL30;RPL29;RPS17;RPL35;RPS4X;RPS15;RPL12;RPL37;RPL4;RPS23;RPS29;RPS7;RPL14;RPL5;RPL27;RPL38;RPL41;RPS3A;RPS8;RPL24;RPL8;RACK1;RPL19;RPS13;RPLP1;RPL35A;RPS2;RPS27A;RPL11;RPL17;RPL22;RPS26;RPL6;RPS11;RPL26;RPL15;RPL31;RPL7;RPL21;FAU
1,prerank,Peptide Biosynthetic Process (GO:0043043),-0.705948313797772,-3.3258585970425854,0.0,0.0,0.0,88/141,12.66%,RPS27;RPL13A;RPS18;RPL3;RPS5;RPL13;RPS15A;RPL36;RPL37A;RPS21;RPS19;RPSA;RPL18A;RPS3;RPLP2;RPS28;RPL10A;RPL23A;RPS6;RPL39;RPS20;RPL10;RPLP0;RPL18;RPL9;RPL32;RPS16;RPS14;RPL7A;RPS10;RPL27A;RPS25;RPL30;RPL29;RPS17;RPL35;RPS4X;RPS15;RPL12;RPL37;RPL4;RPS23;RPS29;RPS7;RPL14;RPL5;RPL27;RPL38;RPL41;RPS3A;RPS8;RPL24;RPL8;RPL19;RPS13;RPLP1;RPL35A;RPS2;RPS27A;RPL11;EEF1A1;RPL17;RPL22;RPS26;RPL6;RPS11;PABPC4;RPL26;RPL15;RPL31;GGT1;CARNS1;RPL7;GGT7;RPL21;MRPL41;FAU;RPL28;MRPS18B;MRPL9;MRPL43;MRPS21;MRPL11;MRPL34;MRPL55;RPL34;MRPL10;GGTLC2
2,prerank,Macromolecule Biosynthetic Process (GO:0009059),-0.6480344783733529,-3.1005047991340713,0.0,0.0,0.0,91/164,12.57%,RPS27;RPL13A;RPS18;RPL3;RPS5;RPL13;RPS15A;RPL36;RPL37A;RPS21;RPS19;RPSA;RPL18A;RPS3;RPLP2;RPS28;RPL10A;RPL23A;RPS6;RPL39;RPS20;RPL10;RPLP0;RPL18;RPL9;RPL32;RPS16;RPS14;RPL7A;RPS10;RPL27A;RPS25;RPL30;RPL29;RPS17;RPL35;RPS4X;RPS15;RPL12;RPL37;RPL4;RPS23;RPS29;RPS7;EEF1G;RPL14;RPL5;RPL27;RPL38;RPL41;RPS3A;RPS8;RPL24;RPL8;RPL19;RPS13;GAL3ST4;RPLP1;RPL35A;RPS2;RPS27A;RPL11;EEF1A1;RPL17;EEF2;RPL22;RPS26;RPL6;RPS11;PABPC4;RPL26;RPL15;EEF1B2;RPL31;POLD2;RPL7;RPL21;MRPL41;FAU;EEF1D;RPL28;MRPS18B;MRPL9;B4GAT1;MRPL43;MRPS21;MRPL11;MRPL34;MRPL55;RPL34;MRPL10
3,prerank,Translation (GO:0006412),-0.5974618375242431,-3.0277212335170764,0.0,0.0,0.0,108/220,16.80%,RPS27;RPL13A;RPS18;RPL3;RPS5;RPL13;RPS15A;RPL36;RPL37A;RPS21;RPS19;RPSA;RPL18A;RPS3;RPLP2;RPS28;RPL10A;RPL23A;RPS6;RPL39;RPS20;RPL10;RPLP0;RPL18;RPL9;RPL32;RPS16;RPS14;RPL7A;RPS10;RPL27A;RPS25;RPL30;RPL29;RPS17;RPL35;RPS4X;RPS15;RPL12;RPL37;RPL4;RPS23;RPS29;RPS7;EEF1G;RPL14;RPL5;RPL27;RPL38;RPL41;RPS3A;RPS8;RPL24;RPL8;RACK1;RPL19;RPS13;RPLP1;RPL35A;RPS2;RPS27A;RPL11;EEF1A1;RPL17;EEF2;RPL22;RPS26;RPL6;RPS11;PABPC4;RPL26;RPL15;EEF1B2;RPL31;RPL7;RPL21;MRPL41;FAU;EEF1D;MRPL38;RPL28;MRPS18B;QARS1;MRPL9;MRPS2;MRPS24;MRPL43;MRPS21;MRPL11;MRPS26;MRPL34;MRPL55;RPL34;MRPL10;MRPS27;MRPS34;MRPL57;RPL36AL;MRPL24;DHPS;MRPL12;MRPL51;MRPL48;MRPL2;RPS9;GADD45GIP1;DRG2;MRPL58
4,prerank,Defense Response To Symbiont (GO:0140546),0.7985162548262462,2.7647894350365037,0.0,0.0,0.0,59/124,6.12%,GBP5;RSAD2;STAT1;IFIT3;OAS3;IFI44L;STAT2;ISG15;IFIT1;IFIT2;IFIH1;GBP2;RIGI;PLSCR1;OASL;MX1;OAS1;IFI6;IRF7;IRF1;RTP4;AIM2;IFITM3;DDX60L;OAS2;DDX60;IFIT5;IFI16;EIF2AK2;TRIM5;ZNFX1;TLR7;NLRC5;MOV10;CASP1;BST2;MX2;TLR8;NT5C3A;MLKL;SAMHD1;IFI27;IRF2;IFITM1;ISG20;APOBEC3A;LILRB1;APOBEC3B;TLR2;TANK;CD40;TBK1;RNASEL;TRIM56;F2RL1;PTPRC;CGAS;IFNAR2;APOBEC3G
5,prerank,Defense Response To Virus (GO:0051607),0.7714155735866963,2.725854071407862,0.0,0.0,0.0,77/156,10.54%,GBP5;RSAD2;STAT1;CXCL10;IFIT3;OAS3;IFI44L;STAT2;ISG15;IFIT1;IFIT2;IFIH1;GBP2;RIGI;PLSCR1;OASL;MX1;OAS1;PML;IFI6;IRF7;IRF1;RTP4;AIM2;IFITM3;DDX60L;OAS2;DDX60;IFIT5;IFI16;EIF2AK2;TRIM5;TRIM21;ZNFX1;TLR7;NLRC5;MOV10;CASP1;BST2;DHX58;MX2;TLR8;NT5C3A;MLKL;TRIM25;SAMHD1;IFI27;IRF2;IFITM1;ISG20;APOBEC3A;LILRB1;APOBEC3B;USP18;TLR2;TANK;CD40;TBK1;RNASEL;TRIM56;F2RL1;PTPRC;TNF;CGAS;IFNAR2;APOBEC3G;SHFL;MORC3;MYD88;IFITM2;TRIM26;MICA;UBE2W;APOBEC3F;SETD2;PMAIP1;RNF185
6,prerank,Negative Regulation Of Viral Process (GO:0048525),0.8255311377307495,2.558558210282778,0.0,0.0,0.0,33/52,9.81%,RSAD2;STAT1;OAS3;ISG15;IFIT1;IFIH1;PLSCR1;OASL;MX1;OAS1;IFITM3;OAS2;IFIT5;IFI16;EIF2AK2;TRIM21;ZNFX1;BST2;FAM111A;ZC3HAV1;IFITM1;ISG20;APOBEC3A;RNASEL;TNF;ZFP36;N4BP1;APOBEC3G;SLPI;SHFL;TRIM27;IFITM2;APOBEC3F
7,prerank,Negative Regulation Of Viral Genome Replication (GO:0045071),0.8322175762260838,2.5333355977722944,0.0,0.0,0.0,29/47,6.88%,RSAD2;OAS3;ISG15;IFIT1;IFIH1;PLSCR1;OASL;MX1;OAS1;IFITM3;OAS2;IFIT5;IFI16;EIF2AK2;ZNFX1;BST2;FAM111A;ZC3HAV1;IFITM1;ISG20;APOBEC3A;APOBEC3B;RNASEL;TNF;RESF1;N4BP1;APOBEC3G;SLPI;SHFL
8,prerank,Regulation Of Viral Genome Replication (GO:0045069),0.7857694170126863,2.4991372842189765,0.0,0.0,0.0,32/59,9.93%,RSAD2;OAS3;ISG15;IFIT1;IFIH1;PLSCR1;OASL;MX1;OAS1;IFITM3;OAS2;IFIT5;IFI16;EIF2AK2;ZNFX1;BST2;FAM111A;ZC3HAV1;IFITM1;ISG20;APOBEC3A;RNASEL;PKN2;TNF;N4BP1;APOBEC3G;DDX3X;SLPI;SHFL;IFITM2;APOBEC3F;LARP1
9,prerank,Response To Cytokine (GO:0034097),0.7134508303746105,2.4323940472562144,0.0,0.0,0.0,44/100,10.37%,CD274;STAT1;LAMP3;ISG15;XAF1;PLSCR1;MX1;PML;GCH1;IFITM3;JAK2;NUB1;EIF2AK2;TRIM21;ADAR;BST2;MX2;MEFV;CALCOCO2;CXCL16;LGALS9;IFITM1;SP100;IL1B;SELL;HDAC4;SRC;CD40;TRIM56;CIITA;IFNAR2;MCL1;RELB;SHFL;JAK3;IL6R;RIPK1;CD74;MYD88;REL;IRAK2;IFITM2;SPHK1;SETD2
10,prerank,Ribosome Biogenesis (GO:0042254),-0.49798113000156136,-2.392919731723905,0.0,0.0,0.0,81/146,33.62%,RPS27;RPS5;RPS15A;RPS19;RPS28;NOP53;RPS6;RPS16;RPS14;RPS25;RPS17;RPS4X;RPS15;RPS23;RPS7;RPL14;RPL5;RPL27;RPS3A;RPS8;RPS13;FBL;RPL35A;RPL11;NPM1;RPS11;RPL26;NOB1;RPL7;EXOSC5;PELP1;EXOSC7;EXOSC2;NOP56;SNU13;GTF3A;METTL17;SPPL2B;PIH1D1;LYAR;RPS9;RPS19BP1;NOP58;MRTO4;SURF6;DDX27;NGDN;NOP16;WDR74;RRP9;WDR18;RRS1;NOP14;NAT10;MRPL36;GRWD1;RRP7BP;RPS24;TBL3;EXOSC10;PWP2;SBDS;MRPS12;RCL1;NOC4L;RRP7A;UTP4;EMG1;MRM2;CINP;BOP1;PES1;NVL;NOC2L;TSC1;LTO1;DDX54;RSL24D1;BMS1;NOL6;EBNA1BP2
11,prerank,Ribosomal Small Subunit Biogenesis (GO:0042274),-0.5610708786282723,-2.392817723912835,0.0,0.0,0.0,47/81,29.99%,RPS27;RPS5;RPS15A;RPS19;RPSA;RPS28;RPS6;RPS16;RPS14;RPS25;RPS17;RPS4X;RPS15;RPS23;RPS7;RPS3A;RPS8;RPS13;FBL;NPM1;RPS11;NOB1;TSR3;NOP56;SNU13;METTL17;SPPL2B;RPS9;RPS19BP1;NOP58;SURF6;NGDN;RRP9;NOP14;NAT10;RRP7BP;RPS24;TBL3;EXOSC10;PWP2;MRPS12;RCL1;LOC102724159;RRP7A;UTP4;EMG1;ERAL1
12,prerank,Positive Regulation Of Chemokine Production (GO:0032722),0.8270272586490363,2.390274722514567,0.0,0.0,0.0,20/34,9.87%,OAS3;OAS1;EIF2AK2;FFAR2;TLR7;LGALS9;IL1B;TLR2;F2RL1;FFAR3;TLR4;CLEC7A;TNF;LCP1;DDX3X;IL6R;HIF1A;CD74;IL17RA;AIF1
13,prerank,Positive Regulation Of Interferon-Beta Production (GO:0032728),0.8212782270200552,2.3828672958585257,0.0,0.0,0.0,16/34,6.24%,OAS3;ISG15;IFIH1;RIGI;OAS1;IRF7;IRF1;OAS2;TLR7;TLR8;RIPK2;TLR2;TBK1;TRIM56;TLR4;DDX3X
