Pathway,Up_Count,Down_Count,Direction
Defense Response To Symbiont (GO:0140546),0,0,Up
Alpha-Amino Acid Metabolic Process (GO:1901605),0,0,Down
Negative Regulation Of Transferase Activity (GO:0051348),0,0,Up
Negative Regulation Of Apoptotic Process (GO:0043066),0,0,Up
Positive Regulation Of Myoblast Differentiation (GO:0045663),0,0,Down
Negative Regulation Of Immune System Process (GO:0002683),0,0,Down
Regulation Of Epithelial Cell Proliferation (GO:0050678),0,0,Down
Regulation Of Neurogenesis (GO:0050767),0,0,Down
Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:0035924),0,0,Down
Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389),0,0,Down
