GeneID,Module,kME,is_hub,Symbol,Description
28959,1,0.5088561652172344,False,TMEM176B,transmembrane protein 176B
55365,1,0.53206531768754,False,TMEM176A,transmembrane protein 176A
106632260,1,0.559322117018525,False,RNA5-8SN1,"RNA, 5.8S ribosomal N1"
109864281,1,0.5689347148992229,False,RNA5-8SN2,"RNA, 5.8S ribosomal N2"
109864274,1,0.5629553454919614,False,RNA5-8SN4,"RNA, 5.8S ribosomal N4"
109910381,1,0.5864000971742799,False,RNA5-8SN3,"RNA, 5.8S ribosomal N3"
28523,1,0.22603958613303626,False,TRDD3,T cell receptor delta diversity 3
100008587,1,0.5780377090756933,False,RNA5-8SN5,"RNA, 5.8S ribosomal N5"
28715,1,0.6687722541257254,False,TRAJ40,T cell receptor alpha joining 40
6023,1,0.6328536163855261,False,RMRP,RNA component of mitochondrial RNA processing endoribonuclease
3620,1,0.09382448762462664,False,IDO1,"indoleamine 2,3-dioxygenase 1"
28394,1,0.26087019222490604,False,IGHV4-39,immunoglobulin heavy variable 4-39
3137,1,0.29950484839597036,False,HLA-J,"major histocompatibility complex, class I, J (pseudogene)"
91543,1,0.5776287703487699,False,RSAD2,radical S-adenosyl methionine domain containing 2
125050,1,0.7202723899635498,False,RN7SK,RNA component of 7SK nuclear ribonucleoprotein
28706,1,0.5912844135431946,False,TRAJ49,T cell receptor alpha joining 49
7503,1,0.6351417446683987,False,XIST,X inactive specific transcript
28812,1,0.2872300508626848,False,IGLV2-28,immunoglobulin lambda variable 2-28 (pseudogene)
28636,1,0.5354953199799608,False,TRBD2,T cell receptor beta diversity 2
10964,1,0.7186288408269855,False,IFI44L,interferon induced protein 44 like
28732,1,0.651293885476723,False,TRAJ23,T cell receptor alpha joining 23
10561,1,0.7554259986167597,False,IFI44,interferon induced protein 44
3119,1,0.5437680977298015,False,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1"
28495,1,0.6533603785613826,False,IGHD4-11,immunoglobulin heavy diversity 4-11 (non-functional)
106480429,1,0.5965760189600213,False,HLA-DQB1-AS1,HLA-DQB1 antisense RNA 1
28635,1,0.675212207504794,False,TRBJ1-1,T cell receptor beta joining 1-1
