GeneID,Module_orig,Module_EM
100287102,312,18
653635,112,1
102466751,112,1
100996442,112,1
729737,112,1
102725121,251,13
102723897,112,1
102465909,112,1
100132287,112,1
113219467,112,1
100133331,112,1
107984841,112,1
107984847,112,1
107984849,112,1
100288069,112,1
79854,112,1
643837,112,1
148398,112,1
26155,112,1
339451,112,1
57801,112,1
9636,111,2
375790,112,1
54991,112,1
8784,112,1
7293,112,1
51150,112,1
126792,112,1
118424,112,1
101928895,112,1
6339,112,1
116983,112,1
109623456,112,1
126789,112,1
54973,112,1
102465435,112,1
80772,112,1
1855,112,1
54587,112,1
54998,112,1
81669,112,1
148413,112,1
55052,112,1
83858,112,1
55210,112,1
29101,112,1
643988,112,1
142678,112,1
8510,112,1
984,112,1
728661,112,1
8511,112,1
728642,112,1
9906,112,1
112268218,112,1
65220,112,1
2782,112,1
5590,112,1
100506504,112,1
199990,112,1
112268219,112,1
6497,112,1
11079,112,1
5192,112,1
9651,112,1
55229,112,1
115110,112,1
8764,112,1
100996583,112,1
127281,112,1
79258,112,1
1953,112,1
127262,112,1
49856,112,1
57212,112,1
388588,421,16
57470,112,1
9731,112,1
1677,112,1
339448,112,1
107985376,271,16
261734,112,1
8514,112,1
6146,112,1
107985733,112,1
23463,112,1
11332,112,1
83715,141,18
8718,112,1
57449,112,1
79707,112,1
3104,112,1
9903,112,1
148479,112,1
90326,112,1
55735,112,1
9341,112,1
3604,112,1
11315,112,1
473,112,1
102724552,112,1
2023,112,1
112268261,112,1
765,112,1
80045,112,1
9563,112,1
80176,112,1
5293,112,1
644997,112,1
22883,112,1
56998,112,1
105376717,112,1
84328,112,1
64802,112,1
116362,112,1
10277,112,1
23095,112,1
5226,112,1
1676,112,1
5195,112,1
54897,112,1
23435,112,1
10747,112,1
6723,112,1
5394,112,1
105376736,112,1
2475,112,1
100873935,112,1
29914,112,1
26232,112,1
93611,112,1
26270,94,8
10459,112,1
57085,112,1
284498,112,1
4524,112,1
1185,112,1
100379251,112,1
4878,112,1
90231,112,1
5351,112,1
9927,112,1
60672,112,1
102466982,239,18
943,112,1
102465836,112,1
7133,112,1
100616438,112,1
55187,112,1
677885,112,1
9249,112,1
102466722,112,1
7799,112,1
79180,112,1
842,112,1
23341,112,1
79814,112,1
84301,112,1
6248,112,1
23207,112,1
440567,112,1
729614,112,1
23013,112,1
7709,112,1
128272,112,1
79363,112,1
54455,112,1
26099,112,1
374955,112,1
55707,112,1
107984921,112,1
114819,112,1
26871,112,1
55672,112,1
105376794,112,1
84809,112,1
26869,112,1
6060,112,1
105376805,112,1
26870,112,1
9696,112,1
23400,112,1
6390,112,1
11240,112,1
23569,112,1
55920,112,1
55160,112,1
8659,112,1
126917,112,1
23352,112,1
101927895,112,1
23065,112,1
51154,112,1
8574,112,1
54896,112,1
832,112,1
440574,112,1
100532736,112,1
644068,112,1
255104,112,1
23252,112,1
79594,112,1
978,112,1
65018,112,1
102464833,112,1
100861548,112,1
1650,112,1
112268222,112,1
50809,112,1
8672,112,1
1889,112,1
100506801,112,1
84224,112,1
249,112,1
84196,112,1
29092,112,1
112268223,112,1
998,112,1
9923,112,1
712,112,1
714,285,4
713,342,5
100422914,112,1
23028,112,1
7798,112,1
10236,112,1
80818,112,1
6920,112,1
1870,112,1
3399,112,1
259283,112,1
6135,112,1
6924,112,1
100506963,112,1
57095,112,1
105376860,112,1
11313,112,1
2582,112,1
3155,112,1
2517,112,1
1269,112,1
55629,112,1
10772,112,1
163702,112,1
57185,112,1
100750325,112,1
11123,112,1
100506985,112,1
10250,112,1
25932,112,1
864,112,1
102465437,112,1
25949,112,1
57035,112,1
6007,112,1
23585,112,1
6006,112,1
55219,112,1
26119,112,1
57134,112,1
57190,112,1
56181,112,1
646471,112,1
79000,112,1
164091,112,1
3925,112,1
100500808,112,1
5051,112,1
51042,112,1
10256,112,1
64793,112,1
83442,112,1
91544,112,1
1043,112,1
257101,112,1
79947,112,1
101928324,112,1
3151,112,1
6195,112,1
100302190,112,1
8289,112,1
55650,112,1
84243,112,1
54707,112,1
63906,112,1
10726,112,1
6548,112,1
23038,112,1
84065,112,1
84958,112,1
9064,112,1
10163,112,1
27245,112,1
2268,112,1
2537,105,2
199870,112,1
23673,112,1
5511,112,1
9473,112,1
6118,112,1
55113,112,1
2140,112,1
5724,112,1
22826,112,1
93974,112,1
83667,112,1
54797,112,1
65979,112,1
1104,112,1
8420,112,1
6080,112,1
26768,112,1
54952,112,1
85028,112,1
692212,112,1
677838,112,1
677825,112,1
692073,112,1
6883,112,1
10691,112,1
51441,112,1
2035,112,1
399474,112,1
6429,112,1
51102,112,1
100129196,112,1
7805,112,1
100616164,112,1
9672,112,1
9698,112,1
692234,112,1
692235,112,1
9410,112,1
51538,112,1
347735,112,1
3061,112,1
553115,112,1
107985471,112,1
8073,112,1
10657,112,1
55116,112,1
23633,112,1
200081,112,1
79140,112,1
56063,112,1
55721,112,1
8668,112,1
3932,112,1
3065,112,1
65108,112,1
81629,112,1
100128071,112,1
55108,112,1
339487,112,1
5928,112,1
81493,112,1
8565,112,1
64766,112,1
127544,112,1
204,112,1
55223,112,1
149076,112,1
1912,112,1
100500853,112,1
113444,112,1
653160,112,1
100506144,112,1
9204,112,1
6421,112,1
9202,112,1
100861513,112,1
79932,112,1
23154,112,1
339488,112,1
105378645,112,1
5690,112,1
127703,112,1
192670,112,1
26523,112,1
192669,112,1
54936,112,1
27095,112,1
55700,112,1
9967,112,1
79729,112,1
55194,112,1
83931,112,1
84967,112,1
64960,112,1
1441,112,1
728431,112,1
80149,112,1
102465438,112,1
64769,112,1
100847010,112,1
105378649,112,1
79753,112,1
29889,112,1
54955,112,1
55143,112,1
79693,112,1
127687,112,1
4520,112,1
3633,112,1
10946,112,1
2275,112,1
51118,112,1
64121,112,1
100527950,112,1
26292,112,1
79647,112,1
4725,112,1
23499,112,1
353500,112,1
728448,112,1
8761,112,1
101929516,112,1
677834,112,1
51440,112,1
10450,112,1
656,112,1
105378665,112,1
54802,112,1
4610,112,1
105378668,112,1
84879,112,1
10487,112,1
5538,112,1
6018,112,1
10269,112,1
1298,112,1
107984945,112,1
64744,112,1
339559,112,1
64789,112,1
100130557,112,1
4802,112,1
163732,112,1
1503,112,1
22955,112,1
22887,112,1
79717,112,1
10465,112,1
4904,112,1
64175,112,1
79078,112,1
374969,112,1
114625,112,1
51058,112,1
6513,112,1
10969,112,1
64834,112,1
102466723,112,1
112950,112,1
107984947,112,1
23334,112,1
100873952,112,1
81888,112,1
9682,112,1
100132774,112,1
6487,112,1
105378688,112,1
101929609,112,1
9670,112,1
1802,112,1
533,112,1
149473,112,1
107984948,300,13
55929,112,1
79033,112,1
100874278,112,1
55182,112,1
107984950,112,1
339541,112,1
6202,112,1
26811,168,13
94161,112,1
94162,112,1
94163,112,1
1263,112,1
8891,112,1
79654,112,1
7389,112,1
4595,112,1
114034,112,1
10420,112,1
126661,112,1
25974,112,1
5052,112,1
10327,112,1
4678,112,1
149483,112,1
60313,112,1
51249,112,1
3652,112,1
23139,112,1
55624,112,1
10489,112,1
7388,112,1
387338,112,1
2166,112,1
729041,112,1
100507423,112,1
8569,112,1
148932,112,1
64756,112,1
100130197,112,1
9813,112,1
100874253,409,18
10158,112,1
6886,401,13
51727,112,1
84793,112,1
11124,112,1
1031,112,1
26994,112,1
2060,112,1
114883,112,1
4898,112,1
105378721,112,1
100313892,112,1
51060,112,1
112970,112,1
91408,112,1
200014,112,1
84950,112,1
23318,112,1
2882,112,1
348378,112,1
65260,112,1
79699,112,1
55268,112,1
6342,112,1
1376,112,1
54987,112,1
4116,112,1
107984957,112,1
55706,112,1
54432,112,1
51668,112,1
115353,112,1
9528,112,1
127428,112,1
606495,112,1
51253,112,1
23648,112,1
100527960,112,1
7268,112,1
25973,112,1
55001,112,1
1718,112,1
23358,112,1
115209,112,1
114803,112,1
3725,112,1
83941,112,1
10207,112,1
7398,112,1
84938,112,1
29929,112,1
5236,112,1
55225,112,1
3716,112,1
100500854,112,1
406893,112,1
54741,112,1
5142,112,1
57708,112,1
23169,112,1
3595,112,1
105378779,112,1
26135,112,1
1647,112,1
79971,112,1
55631,112,1
9295,112,1
81573,112,1
11147,112,1
100132618,112,1
9406,112,1
406962,112,1
8790,112,1
1429,112,1
127253,112,1
34,112,1
5876,112,1
26805,112,1
26804,112,1
10026,112,1
26289,112,1
26009,112,1
23032,112,1
91624,112,1
8880,112,1
10964,112,1
10561,112,1
5567,112,1
80135,112,1
2787,112,1
100505741,112,1
1486,112,1
105378819,112,1
255231,112,1
148423,112,1
8915,112,1
646626,112,1
54680,112,1
57489,112,1
51100,112,1
9403,112,1
9653,112,1
8543,112,1
5586,112,1
2959,112,1
56267,112,1
494115,112,1
2635,112,1
2633,27,17
2634,73,7
112268267,112,1
115361,106,8
107985076,112,1
115362,29,2
163351,17,4
400759,10,5
84230,112,1
400761,112,1
55144,112,1
84146,112,1
7049,112,1
2672,112,1
7813,112,1
6125,112,1
388650,112,1
6083,112,1
26782,112,1
22823,112,1
50999,112,1
100131564,112,1
1810,112,1
30836,112,1
2730,112,1
5825,112,1
25950,112,1
1806,112,1
100873932,112,1
178,112,1
64645,112,1
163786,112,1
54482,112,1
1629,112,1
8634,112,1
8556,112,1
105379827,112,1
148867,112,1
102606465,112,1
101928370,112,1
1901,112,1
55599,112,1
280,112,1
55170,112,1
10451,112,1
29957,112,1
284611,112,1
113802,112,1
55119,112,1
6814,112,1
29899,112,1
23155,112,1
22911,112,1
6884,112,1
56900,112,1
677766,112,1
57535,112,1
6301,112,1
84722,112,1
6272,75,8
5686,112,1
127002,112,1
284613,112,1
57463,112,1
2773,112,1
406974,112,1
2780,112,1
271,112,1
2948,112,1
2946,112,1
2944,340,0
1435,112,1
10768,112,1
85369,112,1
257,112,1
64783,112,1
10542,112,1
3738,112,1
963,112,1
55791,112,1
128338,112,1
10390,112,1
79961,112,1
1117,112,1
5016,112,1
79084,112,1
515,112,1
128346,112,1
57413,112,1
140,112,1
5906,112,1
55924,112,1
11218,112,1
54879,112,1
829,112,1
4343,112,1
389,112,1
333926,112,1
6566,112,1
9860,112,1
10745,112,1
54665,112,1
100287722,112,1
26191,112,1
10717,112,1
64858,112,1
204851,112,1
51592,112,1
10286,112,1
4893,112,1
7812,112,1
80143,112,1
10100,112,1
55356,112,1
476,112,1
84852,112,1
112268235,112,1
965,112,1
914,112,1
9398,112,1
101929099,112,1
8458,112,1
10905,112,1
54855,112,1
54834,112,1
10885,112,1
10352,112,1
4853,112,1
9554,112,1
105378954,112,1
728841,112,1
107985523,112,1
100996724,112,1
101929796,112,1
101060684,112,1
